56 |input  49:1 81:1 158:12.75
56 |input  49:1 81:1 158:12.5
56 |input  48:1 49:1 80:1 81:1 158:12.25
56 |input  53:1 87:1 158:12.0
57 |input  56:1 57:1 81:1 158:14.25 |output 57:1 81:1
57 |input  63:1 81:1 158:14.0
57 |input  63:1 81:1 158:13.75
57 |input  63:1 81:1 158:13.5
57 |input  62:1 63:1 81:1 158:13.25
57 |input  49:1 81:1 158:13.0
57 |input  49:1 81:1 158:12.75
57 |input  49:1 81:1 158:12.5
57 |input  48:1 49:1 80:1 81:1 158:12.25
58 |input  57:1 81:1 158:14.5 |output 57:1 81:1
58 |input  56:1 57:1 81:1 158:14.25
58 |input  63:1 81:1 158:14.0
58 |input  63:1 81:1 158:13.75
58 |input  63:1 81:1 158:13.5
58 |input  62:1 63:1 81:1 158:13.25
58 |input  49:1 81:1 158:13.0
58 |input  49:1 81:1 158:12.75
58 |input  49:1 81:1 158:12.5
59 |input  57:1 81:1 158:14.75 |output 57:1 81:1
59 |input  57:1 81:1 158:14.5
59 |input  56:1 57:1 81:1 158:14.25
59 |input  63:1 81:1 158:14.0
59 |input  63:1 81:1 158:13.75
59 |input  63:1 81:1 158:13.5
59 |input  62:1 63:1 81:1 158:13.25
59 |input  49:1 81:1 158:13.0
59 |input  49:1 81:1 158:12.75
60 |input  57:1 81:1 158:15.0 |output 62:1 63:1 81:1
60 |input  57:1 81:1 158:14.75
60 |input  57:1 81:1 158:14.5
60 |input  56:1 57:1 81:1 158:14.25
60 |input  63:1 81:1 158:14.0
60 |input  63:1 81:1 158:13.75
60 |input  63:1 81:1 158:13.5
60 |input  62:1 63:1 81:1 158:13.25
60 |input  49:1 81:1 158:13.0
61 |input  62:1 63:1 81:1 158:15.25 |output 63:1 81:1
61 |input  57:1 81:1 158:15.0
61 |input  57:1 81:1 158:14.75
61 |input  57:1 81:1 158:14.5
61 |input  56:1 57:1 81:1 158:14.25
61 |input  63:1 81:1 158:14.0
61 |input  63:1 81:1 158:13.75
61 |input  63:1 81:1 158:13.5
61 |input  62:1 63:1 81:1 158:13.25
62 |input  63:1 81:1 158:15.5 |output 63:1 81:1
62 |input  62:1 63:1 81:1 158:15.25
62 |input  57:1 81:1 158:15.0
62 |input  57:1 81:1 158:14.75
62 |input  57:1 81:1 158:14.5
62 |input  56:1 57:1 81:1 158:14.25
62 |input  63:1 81:1 158:14.0
62 |input  63:1 81:1 158:13.75
62 |input  63:1 81:1 158:13.5
63 |input  63:1 81:1 158:15.75 |output 63:1 81:1
63 |input  63:1 81:1 158:15.5
63 |input  62:1 63:1 81:1 158:15.25
63 |input  57:1 81:1 158:15.0
63 |input  57:1 81:1 158:14.75
63 |input  57:1 81:1 158:14.5
63 |input  56:1 57:1 81:1 158:14.25
63 |input  63:1 81:1 158:14.0
63 |input  63:1 81:1 158:13.75
64 |input  63:1 81:1 158:16.0 |output 42:1 43:1 80:1 81:1
64 |input  63:1 81:1 158:15.75
64 |input  63:1 81:1 158:15.5
64 |input  62:1 63:1 81:1 158:15.25
64 |input  57:1 81:1 158:15.0
64 |input  57:1 81:1 158:14.75
64 |input  57:1 81:1 158:14.5
64 |input  56:1 57:1 81:1 158:14.25
64 |input  63:1 81:1 158:14.0
65 |input  42:1 43:1 80:1 81:1 158:16.25 |output 43:1 81:1
65 |input  63:1 81:1 158:16.0
65 |input  63:1 81:1 158:15.75
65 |input  63:1 81:1 158:15.5
65 |input  62:1 63:1 81:1 158:15.25
65 |input  57:1 81:1 158:15.0
65 |input  57:1 81:1 158:14.75
65 |input  57:1 81:1 158:14.5
65 |input  56:1 57:1 81:1 158:14.25
66 |input  43:1 81:1 158:16.5 |output 43:1 81:1
66 |input  42:1 43:1 80:1 81:1 158:16.25
66 |input  63:1 81:1 158:16.0
66 |input  63:1 81:1 158:15.75
66 |input  63:1 81:1 158:15.5
66 |input  62:1 63:1 81:1 158:15.25
66 |input  57:1 81:1 158:15.0
66 |input  57:1 81:1 158:14.75
66 |input  57:1 81:1 158:14.5
67 |input  43:1 81:1 158:16.75 |output 43:1 81:1
67 |input  43:1 81:1 158:16.5
67 |input  42:1 43:1 80:1 81:1 158:16.25
67 |input  63:1 81:1 158:16.0
67 |input  63:1 81:1 158:15.75
67 |input  63:1 81:1 158:15.5
67 |input  62:1 63:1 81:1 158:15.25
67 |input  57:1 81:1 158:15.0
67 |input  57:1 81:1 158:14.75
68 |input  43:1 81:1 158:17.0 |output 56:1 57:1 96:1 97:1
68 |input  43:1 81:1 158:16.75
68 |input  43:1 81:1 158:16.5
68 |input  42:1 43:1 80:1 81:1 158:16.25
68 |input  63:1 81:1 158:16.0
68 |input  63:1 81:1 158:15.75
68 |input  63:1 81:1 158:15.5
68 |input  62:1 63:1 81:1 158:15.25
68 |input  57:1 81:1 158:15.0
69 |input  56:1 57:1 96:1 97:1 158:17.25 |output 57:1 97:1
69 |input  43:1 81:1 158:17.0
69 |input  43:1 81:1 158:16.75
69 |input  43:1 81:1 158:16.5
69 |input  42:1 43:1 80:1 81:1 158:16.25
69 |input  63:1 81:1 158:16.0
69 |input  63:1 81:1 158:15.75
69 |input  63:1 81:1 158:15.5
